year,month,monthly_total_precipitation_mm_manual,monthly_average_wind_speed,monthly_maximum_precipitation_mm_manual,minimum_temperature_c,maximum_temperature_c,average_temperature_c,maximum_actual_pressure_hpa,monthly_total_precipitation_mm,minimum_actual_pressure_hpa,maximum_precipitation_mm,average_actual_pressure_hpa,maximum_wind_speed
0.0,0.0,0.5701335877862596,0.75,0.309727626459144,0.0,0.0,0.0,0.7376425855513276,0.48091603053435117,0.30165289256198946,0.3311036789297659,0.7820512820512846,11.3
0.0,0.09090909090909091,0.1560114503816794,0.875,0.18521400778210118,0.21846153846153848,0.37699680511182104,0.24913494809688577,0.7946768060836504,0.15076335877862596,0.7685950413223139,0.18896321070234115,0.852564102564088,10.3
0.0,0.1818181818181818,0.22662213740458015,0.8125,0.10505836575875487,0.3876923076923077,0.5079872204472844,0.4325259515570934,0.3802281368821312,0.22137404580152673,0.566115702479344,0.10200668896321069,0.4038461538461462,11.8
0.0,0.2727272727272727,0.28673664122137404,0.75,0.3050583657587549,0.39692307692307693,0.6613418530351438,0.5121107266435986,0.3650190114068437,0.2700381679389313,0.6239669421487619,0.30769230769230765,0.4423076923076792,10.3
0.0,0.36363636363636365,0.3096374045801527,0.8125,0.2622568093385214,0.633846153846154,0.7603833865814698,0.7024221453287196,0.2927756653992404,0.30248091603053434,0.39256198347107585,0.26755852842809363,0.301282051282044,11.8
0.0,0.4545454545454545,0.46803435114503816,0.6875,0.40778210116731517,0.8276923076923077,0.9776357827476039,0.8823529411764705,0.06844106463878319,0.4437022900763359,0.6818181818181799,0.40802675585284276,0.25,9.8
0.0,0.5454545454545454,0.3735687022900763,0.8125,0.2739299610894942,0.8646153846153847,1.0,0.9515570934256053,0.14068441064638648,0.36259541984732824,0.3388429752066173,0.29598662207357856,0.1923076923076934,15.9
0.0,0.6363636363636364,0.0558206106870229,0.8125,0.04357976653696498,0.8184615384615386,0.9936102236421724,0.9757785467128026,0.34980988593155615,0.05057251908396947,0.5454545454545467,0.043478260869565216,0.301282051282044,12.3
0.0,0.7272727272727273,0.07442748091603053,0.8125,0.045136186770428015,0.6984615384615385,0.8466453674121408,0.8235294117647057,0.3878326996197714,0.06393129770992367,0.5371900826446279,0.04013377926421404,0.3076923076923066,10.8
0.0,0.8181818181818182,0.7485687022900764,0.5625,0.3688715953307393,0.5784615384615385,0.5782747603833867,0.5501730103806228,0.48669201520912253,0.633587786259542,0.3471074380165362,0.33444816053511706,0.5320512820512704,12.3
0.0,0.9090909090909091,0.3229961832061069,0.5,0.2132295719844358,0.4123076923076923,0.38658146964856227,0.4013840830449827,0.41444866920151924,0.3148854961832061,0.6280991735537214,0.22073578595317725,0.5320512820512704,13.9
0.0,0.9999999999999999,0.5381679389312977,0.875,0.27237354085603116,0.3230769230769231,0.3706070287539936,0.328719723183391,0.6197718631178688,0.5286259541984732,0.5495867768595062,0.2926421404682274,0.5448717948717956,14.4
0.19999999999998863,0.0,0.24141221374045804,0.6875,0.19299610894941635,0.27384615384615385,0.1821086261980831,0.21799307958477507,0.7338403041825075,0.23568702290076335,0.13636363636364024,0.205685618729097,0.6666666666666572,14.9
0.19999999999998863,0.09090909090909091,0.6316793893129772,0.875,0.18832684824902723,0.26461538461538464,0.24600638977635775,0.26989619377162627,0.3954372623574187,0.6030534351145038,0.4090909090909136,0.20401337792642138,0.3461538461538396,12.3
0.19999999999998863,0.1818181818181818,0.7080152671755726,0.875,0.15252918287937745,0.0953846153846154,0.42811501597444096,0.3771626297577855,0.3269961977186284,0.7194656488549619,0.2768595041322328,0.16387959866220736,0.0,12.3
0.19999999999998863,0.2727272727272727,0.015267175572519085,0.8125,0.023346303501945526,0.5815384615384616,0.6805111821086263,0.6608996539792387,0.3193916349809882,0.015267175572519085,0.38429752066116407,0.025083612040133776,0.4166666666666572,13.4
0.19999999999998863,0.36363636363636365,0.1183206106870229,0.8125,0.06848249027237355,0.68,0.6805111821086263,0.7716262975778545,0.1520912547528539,0.11641221374045801,0.5,0.07357859531772576,0.2307692307692264,12.3
0.19999999999998863,0.4545454545454545,0.4909351145038168,0.6875,0.25058365758754864,0.8184615384615386,0.7859424920127795,0.8581314878892732,0.12547528517109896,0.4360687022900764,0.4297520661157108,0.2508361204013378,0.0576923076923066,13.9
0.19999999999998863,0.5454545454545454,0.3144083969465649,0.5625,0.12140077821011673,0.9600000000000002,0.805111821086262,0.9342560553633216,0.02281368821292773,0.3129770992366412,0.4462809917355415,0.13043478260869565,0.012820512820510999,10.8
0.19999999999998863,0.6363636363636364,0.02385496183206107,0.8125,0.029571984435797664,0.9261538461538461,0.8274760383386581,0.9688581314878891,0.18250950570342184,0.022900763358778626,0.5743801652892628,0.030100334448160536,0.262820512820511,9.8
0.19999999999998863,0.7272727272727273,0.06106870229007634,0.6875,0.06848249027237355,0.6030769230769231,0.8626198083067094,0.8027681660899653,0.6007604562737683,0.06106870229007634,0.644628099173552,0.07357859531772576,0.4999999999999858,12.3
0.19999999999998863,0.8181818181818182,0.19274809160305342,0.625,0.16653696498054474,0.45538461538461544,0.5015974440894568,0.6124567474048442,0.5551330798479057,0.19083969465648856,0.40495867768595417,0.17892976588628762,0.6538461538461462,12.3
0.19999999999998863,0.9090909090909091,0.8334923664122137,0.8125,1.0,0.35692307692307695,0.5047923322683705,0.4013840830449827,0.5361216730037981,0.7910305343511451,0.5165289256198378,0.9999999999999999,0.788461538461533,14.4
