year,month,monthly_total_precipitation_mm_manual,monthly_average_wind_speed,monthly_maximum_precipitation_mm_manual,minimum_temperature_c,maximum_temperature_c,average_temperature_c,maximum_actual_pressure_hpa,monthly_total_precipitation_mm,minimum_actual_pressure_hpa,maximum_precipitation_mm,average_actual_pressure_hpa,maximum_wind_speed
0.1999999999999886,0.4545454545454545,0.4909351145038168,0.6875,0.2505836575875486,0.8184615384615386,0.7859424920127795,0.8581314878892732,0.1254752851710989,0.4360687022900764,0.4297520661157108,0.2508361204013378,0.0576923076923066,13.9
0.1999999999999886,0.5454545454545454,0.3144083969465649,0.5625,0.1214007782101167,0.9600000000000002,0.805111821086262,0.9342560553633216,0.0228136882129277,0.3129770992366412,0.4462809917355415,0.1304347826086956,0.0128205128205109,10.8
0.1999999999999886,0.6363636363636364,0.023854961832061,0.8125,0.0295719844357976,0.926153846153846,0.8274760383386581,0.9688581314878892,0.1825095057034218,0.0229007633587786,0.5743801652892628,0.0301003344481605,0.262820512820511,9.8
0.1999999999999886,0.7272727272727273,0.0610687022900763,0.6875,0.0684824902723735,0.6030769230769231,0.8626198083067094,0.8027681660899653,0.6007604562737683,0.0610687022900763,0.644628099173552,0.0735785953177257,0.4999999999999858,12.3
0.1999999999999886,0.8181818181818182,0.1927480916030534,0.625,0.1665369649805447,0.4553846153846154,0.5015974440894568,0.6124567474048442,0.5551330798479057,0.1908396946564885,0.4049586776859541,0.1789297658862876,0.6538461538461462,12.3
0.1999999999999886,0.9090909090909092,0.8334923664122137,0.8125,1.0,0.3569230769230769,0.5047923322683705,0.4013840830449827,0.5361216730037981,0.7910305343511451,0.5165289256198378,1.0,0.788461538461533,14.4
0.1999999999999886,1.0,0.148854961832061,0.5,0.0575875486381323,0.2769230769230769,0.2140575079872204,0.2006920415224913,0.5247148288973378,0.1450381679389313,0.5495867768595062,0.0618729096989966,0.6602564102564088,10.3
0.5999999999999659,0.6363636363636364,0.0076335877862595,0.3125,0.0077821011673151,0.9200000000000002,0.9201277955271564,0.9896193771626296,0.0038022813688201,0.0076335877862595,0.5454545454545467,0.0083612040133779,0.1410256410256352,9.3
0.5999999999999659,0.7272727272727273,0.0038167938931297,0.375,0.003112840466926,0.7784615384615385,0.8530351437699681,0.875432525951557,0.2889733840304131,0.0038167938931297,0.2355371900826455,0.0033444816053511,0.3653846153846132,10.3
0.5999999999999659,0.8181818181818182,0.3129770992366412,0.0,0.2054474708171206,0.6276923076923078,0.7667731629392973,0.6747404844290655,0.406844106463879,0.3053435114503817,0.5247933884297566,0.2190635451505016,0.3974358974358978,13.4
0.5999999999999659,0.9090909090909092,0.0209923664122137,0.25,0.0124513618677042,0.3353846153846154,0.2747603833865815,0.3875432525951556,0.6806083650190118,0.0209923664122137,1.0,0.0133779264214046,0.9871794871794748,8.7
0.5999999999999659,1.0,0.4389312977099237,0.375,0.1743190661478599,0.3015384615384616,0.2619808306709264,0.3494809688581314,0.5437262357414454,0.4389312977099237,0.3512396694214885,0.1839464882943143,0.5448717948717956,10.8
0.8000000000000114,0.0,1.0,0.4375,0.3968871595330739,0.2246153846153846,0.2715654952076677,0.2768166089965397,0.3916349809885915,1.0,0.2066115702479365,0.4147157190635451,0.2692307692307736,13.4
0.8000000000000114,0.0909090909090909,0.2509541984732824,0.4375,0.1852140077821011,0.1784615384615384,0.3929712460063898,0.3044982698961938,0.7376425855513276,0.2318702290076336,0.3140495867768607,0.1989966555183946,0.7307692307692264,13.9
0.8000000000000114,0.9090909090909092,0.1545801526717557,0.1875,0.0824902723735408,0.4646153846153846,0.4504792332268371,0.4394463667820069,0.8022813688212906,0.1545801526717557,0.1652892561983492,0.088628762541806,0.5961538461538396,12.3
0.8000000000000114,1.0,0.70706106870229,0.5,0.3035019455252918,0.2584615384615385,0.3386581469648562,0.3044982698961938,0.5057034220532302,0.6956106870229009,0.2933884297520706,0.205685618729097,0.3333333333333286,13.4
1.0,0.0,0.090648854961832,0.3125,0.0715953307392996,0.1938461538461538,0.2971246006389776,0.1868512110726643,0.7148288973384069,0.0925572519083969,0.4090909090909136,0.0769230769230769,0.6538461538461462,10.8
1.0,0.0909090909090909,0.4217557251908397,0.3125,0.2132295719844358,0.3630769230769231,0.2715654952076677,0.2768166089965397,0.6235741444866889,0.4179389312977099,0.5247933884297566,0.2290969899665551,0.551282051282044,11.8
1.0,0.1818181818181818,0.0429389312977099,0.4375,0.0529182879377431,0.2707692307692307,0.4313099041533546,0.2525951557093425,0.9087452471482892,0.0429389312977099,0.6776859504132275,0.0568561872909698,0.9038461538461462,11.3
1.0,0.2727272727272727,0.2309160305343511,0.5,0.266147859922179,0.5046153846153847,0.5623003194888179,0.546712802768166,0.2889733840304131,0.2127862595419847,0.2438016528925644,0.2859531772575251,0.2243589743589638,14.9
1.0,0.3636363636363636,0.1712786259541984,0.125,0.088715953307393,0.5784615384615385,0.7380191693290734,0.7231833910034601,0.4638783269961948,0.1364503816793893,0.566115702479344,0.0953177257525083,0.5320512820512704,10.3
0.0,0.9090909090909092,0.3229961832061069,0.5,0.2132295719844358,0.4123076923076923,0.3865814696485622,0.4013840830449827,0.4144486692015192,0.3148854961832061,0.6280991735537214,0.2207357859531772,0.5320512820512704,13.9
0.0,1.0,0.5381679389312977,0.875,0.2723735408560311,0.3230769230769231,0.3706070287539936,0.328719723183391,0.6197718631178688,0.5286259541984732,0.5495867768595062,0.2926421404682274,0.5448717948717956,14.4
0.1999999999999886,0.0,0.241412213740458,0.6875,0.1929961089494163,0.2738461538461538,0.1821086261980831,0.217993079584775,0.7338403041825075,0.2356870229007633,0.1363636363636402,0.205685618729097,0.6666666666666572,14.9
0.1999999999999886,0.0909090909090909,0.6316793893129772,0.875,0.1883268482490272,0.2646153846153846,0.2460063897763577,0.2698961937716262,0.3954372623574187,0.6030534351145038,0.4090909090909136,0.2040133779264213,0.3461538461538396,12.3
0.1999999999999886,0.1818181818181818,0.7080152671755726,0.875,0.1525291828793774,0.0953846153846154,0.4281150159744409,0.3771626297577855,0.3269961977186284,0.7194656488549619,0.2768595041322328,0.1638795986622073,0.0,12.3
0.1999999999999886,0.2727272727272727,0.015267175572519,0.8125,0.0233463035019455,0.5815384615384616,0.6805111821086263,0.6608996539792387,0.3193916349809882,0.015267175572519,0.384297520661164,0.0250836120401337,0.4166666666666572,13.4
0.1999999999999886,0.3636363636363636,0.1183206106870229,0.8125,0.0684824902723735,0.68,0.6805111821086263,0.7716262975778545,0.1520912547528539,0.116412213740458,0.5,0.0735785953177257,0.2307692307692264,12.3
0.5999999999999659,0.9090909090909092,0.0209923664122137,0.25,0.0124513618677042,0.3353846153846154,0.2747603833865815,0.3875432525951556,0.6806083650190118,0.0209923664122137,1.0,0.0133779264214046,0.9871794871794748,8.7
0.5999999999999659,1.0,0.4389312977099237,0.375,0.1743190661478599,0.3015384615384616,0.2619808306709264,0.3494809688581314,0.5437262357414454,0.4389312977099237,0.3512396694214885,0.1839464882943143,0.5448717948717956,10.8
0.8000000000000114,0.0,1.0,0.4375,0.3968871595330739,0.2246153846153846,0.2715654952076677,0.2768166089965397,0.3916349809885915,1.0,0.2066115702479365,0.4147157190635451,0.2692307692307736,13.4
0.8000000000000114,0.0909090909090909,0.2509541984732824,0.4375,0.1852140077821011,0.1784615384615384,0.3929712460063898,0.3044982698961938,0.7376425855513276,0.2318702290076336,0.3140495867768607,0.1989966555183946,0.7307692307692264,13.9
0.8000000000000114,0.1818181818181818,0.1793893129770992,0.375,0.0747081712062256,0.3261538461538462,0.3546325878594249,0.2975778546712802,0.653992395437264,0.1803435114503816,0.1942148760330582,0.0819397993311036,0.5576923076923066,11.3
0.8000000000000114,0.2727272727272727,0.316793893129771,0.3125,0.1385214007782101,0.4123076923076923,0.6198083067092652,0.4671280276816609,0.4790874524714823,0.3034351145038168,0.3595041322314074,0.1337792642140468,0.4423076923076792,10.8
0.8000000000000114,0.3636363636363636,0.1412213740458015,0.3125,0.0762645914396887,0.5692307692307693,0.744408945686901,0.7231833910034601,0.3954372623574187,0.1431297709923664,0.5082644628099189,0.0819397993311036,0.2435897435897374,9.8
0.5999999999999659,0.7272727272727273,0.0038167938931297,0.375,0.003112840466926,0.7784615384615385,0.8530351437699681,0.875432525951557,0.2889733840304131,0.0038167938931297,0.2355371900826455,0.0033444816053511,0.3653846153846132,10.3
0.5999999999999659,0.8181818181818182,0.3129770992366412,0.0,0.2054474708171206,0.6276923076923078,0.7667731629392973,0.6747404844290655,0.406844106463879,0.3053435114503817,0.5247933884297566,0.2190635451505016,0.3974358974358978,13.4
0.5999999999999659,0.9090909090909092,0.0209923664122137,0.25,0.0124513618677042,0.3353846153846154,0.2747603833865815,0.3875432525951556,0.6806083650190118,0.0209923664122137,1.0,0.0133779264214046,0.9871794871794748,8.7
0.5999999999999659,1.0,0.4389312977099237,0.375,0.1743190661478599,0.3015384615384616,0.2619808306709264,0.3494809688581314,0.5437262357414454,0.4389312977099237,0.3512396694214885,0.1839464882943143,0.5448717948717956,10.8
0.8000000000000114,0.0,1.0,0.4375,0.3968871595330739,0.2246153846153846,0.2715654952076677,0.2768166089965397,0.3916349809885915,1.0,0.2066115702479365,0.4147157190635451,0.2692307692307736,13.4
0.8000000000000114,0.0909090909090909,0.2509541984732824,0.4375,0.1852140077821011,0.1784615384615384,0.3929712460063898,0.3044982698961938,0.7376425855513276,0.2318702290076336,0.3140495867768607,0.1989966555183946,0.7307692307692264,13.9
0.8000000000000114,0.1818181818181818,0.1793893129770992,0.375,0.0747081712062256,0.3261538461538462,0.3546325878594249,0.2975778546712802,0.653992395437264,0.1803435114503816,0.1942148760330582,0.0819397993311036,0.5576923076923066,11.3
0.1999999999999886,0.9090909090909092,0.8334923664122137,0.8125,1.0,0.3569230769230769,0.5047923322683705,0.4013840830449827,0.5361216730037981,0.7910305343511451,0.5165289256198378,1.0,0.788461538461533,14.4
0.1999999999999886,1.0,0.148854961832061,0.5,0.0575875486381323,0.2769230769230769,0.2140575079872204,0.2006920415224913,0.5247148288973378,0.1450381679389313,0.5495867768595062,0.0618729096989966,0.6602564102564088,10.3
0.3999999999999772,0.0,0.3196564885496183,0.8125,0.2863813229571984,0.1476923076923076,0.2044728434504792,0.2110726643598615,0.3384030418250958,0.3158396946564886,0.2272727272727266,0.3093645484949832,0.1410256410256352,12.3
0.3999999999999772,0.0909090909090909,0.1202290076335877,1.0,0.0638132295719844,0.28,0.2971246006389776,0.2664359861591695,0.7566539923954352,0.1192748091603053,0.4834710743801693,0.0668896321070234,0.762820512820511,15.4
